trip_uuid,od_start_time,od_end_time,segment_count,actual_time,osrm_time,actual_distance,osrm_distance,start_scan_to_end_scan,route_type,source_center,source_name,destination_center,destination_name,cutoff_initial_status,cutoff_final_status,time_delay,data,trip_creation_time,route_schedule_uuid,delay_category,distance_gap,distance_ratio,trip_segment_count,distance_band
trip-153671041653548748,00:16.5,39:46.9,21,830,394,440.9736895,544.8027,999,FTL,IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),1,0,436,training,00:16.5,thanos::sroute:d7c989ba-a29b-4a0b-b2f4-288cdc60074b,Severe Delay,-103.82901049999998,0.8094190603313823,39,200+ km
trip-153671041653548748,39:46.9,40:23.1,18,732,349,383.7591641,446.5496,1260,FTL,IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),1,0,383,training,00:16.5,thanos::sroute:d7c989ba-a29b-4a0b-b2f4-288cdc60074b,Severe Delay,-62.79043589999998,0.8593875441832218,39,200+ km
trip-153671042288605164,00:22.9,03:09.7,6,96,42,48.54288986,56.9116,122,Carting,IND572101AAA,Tumkur_Veersagr_I (Karnataka),IND561203AAB,Doddablpur_ChikaDPP_D (Karnataka),1,0,54,training,00:22.9,thanos::sroute:3a1b0ab2-bb0b-4c53-8c59-eb2a2c0d68b9,Moderate Delay,-8.368710139999997,0.8529524712009503,9,25–50 km
trip-153671042288605164,03:09.7,01:59.6,3,47,26,24.64402098,28.1994,58,Carting,IND561203AAB,Doddablpur_ChikaDPP_D (Karnataka),IND562101AAA,Chikblapur_ShntiSgr_D (Karnataka),1,0,21,training,00:22.9,thanos::sroute:3a1b0ab2-bb0b-4c53-8c59-eb2a2c0d68b9,On Time,-3.55537902,0.8739200472350476,9,0–25 km
trip-153671043369099517,00:33.7,40:17.1,77,2736,1529,1689.964663,2090.8743,3099,FTL,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),1,0,1207,training,00:33.7,thanos::sroute:de5e208e-7641-45e6-8100-4d9fb1e5720d,Severe Delay,-400.909637,0.8082574179614719,89,200+ km
trip-153671043369099517,40:17.1,34:55.4,12,611,212,242.3093063,281.2109,834,FTL,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),1,0,399,training,00:33.7,thanos::sroute:de5e208e-7641-45e6-8100-4d9fb1e5720d,Severe Delay,-38.90159369999998,0.8616639906205628,89,200+ km
trip-153671046011330457,01:00.1,41:29.8,2,59,15,17.17527425,19.68,100,Carting,IND400072AAB,Mumbai Hub (Maharashtra),IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),1,0,44,training,01:00.1,thanos::sroute:f0176492-a679-4597-8332-bbd1c7f9f442,Moderate Delay,-2.504725749999998,0.872727350101626,2,0–25 km
trip-153671052974046625,02:09.7,34:10.5,3,147,46,59.53035015,63.6461,152,FTL,IND583101AAA,Bellary_Dc (Karnataka),IND583201AAA,Hospet (Karnataka),1,0,101,training,02:09.7,thanos::sroute:d9f07b12-65e0-4f3b-bec8-df0613461b0f,High Delay,-4.11574985,0.9353338248533688,7,50–100 km
trip-153671052974046625,34:10.5,54:43.1,2,63,27,26.60053582,29.5696,80,FTL,IND583201AAA,Hospet (Karnataka),IND583119AAA,Sandur_WrdN1DPP_D (Karnataka),1,0,36,training,02:09.7,thanos::sroute:d9f07b12-65e0-4f3b-bec8-df0613461b0f,Moderate Delay,-2.96906418,0.8995906545912018,7,25–50 km
trip-153671052974046625,54:43.1,00:30.7,2,131,44,41.31761357,53.5761,485,FTL,IND583119AAA,Sandur_WrdN1DPP_D (Karnataka),IND583101AAA,Bellary_Dc (Karnataka),1,0,87,training,02:09.7,thanos::sroute:d9f07b12-65e0-4f3b-bec8-df0613461b0f,High Delay,-12.258486429999998,0.771194871780514,7,25–50 km
trip-153671055416136166,02:34.2,12:10.8,1,21,11,9.271519478,11.8422,129,Carting,IND600116AAB,Chennai_Porur_DPC (Tamil Nadu),IND600056AAA,Chennai_Poonamallee (Tamil Nadu),0,0,10,training,02:34.2,thanos::sroute:9bf03170-d0a2-4a3f-aa4d-9aaab3d98af4,On Time,-2.570680522,0.7829220480991708,3,0–25 km
trip-153671055416136166,12:10.8,13:03.4,2,40,12,15.32552865,16.2225,60,Carting,IND600056AAA,Chennai_Poonamallee (Tamil Nadu),IND602105AAB,Chennai_Sriperumbudur_Dc (Tamil Nadu),1,0,28,training,02:34.2,thanos::sroute:9bf03170-d0a2-4a3f-aa4d-9aaab3d98af4,On Time,-0.8969713499999994,0.944708192325474,3,0–25 km
trip-153671066201138152,04:22.0,42:22.3,1,24,13,9.100509891,12.0184,98,Carting,IND600044AAD,Chennai_Chrompet_DPC (Tamil Nadu),IND600048AAA,Chennai_Vandalur_Dc (Tamil Nadu),1,1,11,training,04:22.0,thanos::sroute:a97698cc-846e-41a7-916b-88b17412610c,On Time,-2.917890109,0.7572147616155228,1,0–25 km
trip-153671066826362165,04:28.3,13:03.6,2,25,18,10.07126268,13.8433,68,Carting,IND560043AAC,HBR Layout PC (Karnataka),IND560064AAA,Bengaluru_NwYlhnka_DC (Karnataka),1,0,7,training,04:28.3,thanos::sroute:d5b71ae9-a11a-4f52-bcb7-274b65e2c513,On Time,-3.772037319999999,0.7275189210665087,4,0–25 km
trip-153671066826362165,42:40.2,00:55.2,2,39,16,12.35294778,15.077,78,Carting,IND560064AAD,Bengaluru_Bagaluru_D (Karnataka),IND560043AAC,HBR Layout PC (Karnataka),1,0,23,training,04:28.3,thanos::sroute:d5b71ae9-a11a-4f52-bcb7-274b65e2c513,On Time,-2.724052220000001,0.8193239888571997,4,0–25 km
trip-153671074033284934,05:40.3,01:41.6,2,33,13,13.1899237,13.9134,116,Carting,IND395023AAD,Surat_Central_I_4 (Gujarat),IND395004AAB,Surat_Central_D_3 (Gujarat),1,0,20,training,05:40.3,thanos::sroute:a0e60427-16ad-4b17-b3b0-6a0664355ae1,On Time,-0.7234762999999997,0.9480014733997442,4,0–25 km
trip-153671074033284934,31:39.2,16:28.6,2,128,16,12.26492444,17.0225,164,Carting,IND395009AAA,Surat_Central_D_12 (Gujarat),IND395023AAD,Surat_Central_I_4 (Gujarat),1,0,112,training,05:40.3,thanos::sroute:a0e60427-16ad-4b17-b3b0-6a0664355ae1,High Delay,-4.757575560000001,0.7205125240123366,4,0–25 km
trip-153671079956500691,06:39.6,55:59.6,2,23,8,9.872145671,10.004,49,Carting,IND110024AAA,Delhi_Lajpat_IP (Delhi),IND110014AAA,Delhi_Bhogal (Delhi),1,0,15,training,06:39.6,thanos::sroute:a10888ff-f794-41e1-9b7a-7f62ef663dda,On Time,-0.1318543289999993,0.9868198391643344,2,0–25 km
trip-153671090980523004,17:04.8,30:02.1,2,60,17,13.58370612,18.5886,72,Carting,IND412105AAC,Pune_North_D_3 (Maharashtra),IND411017AAA,PNQ Rahatani DPC (Maharashtra),1,0,43,training,08:29.8,thanos::sroute:580c788b-ff17-4c1b-9bbd-c59e7b05cd04,Moderate Delay,-5.004893879999999,0.7307546625351022,2,0–25 km
trip-153671110078355292,11:40.8,50:10.8,1,17,9,9.396525613,10.8159,38,Carting,IND121004AAB,FBD_Balabhgarh_DPC (Haryana),IND121001AAA,Faridabad (Haryana),0,0,8,training,11:40.8,thanos::sroute:c2ee580f-f4b2-4fa5-98ab-0c5b32753392,On Time,-1.4193743869999995,0.8687696458916965,1,0–25 km
trip-153671117375890592,10:19.7,32:20.6,1,291,48,34.98844152,54.2263,502,FTL,IND415408AAC,Shirala_Central_DPP_3 (Maharashtra),IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),0,0,243,training,12:53.8,thanos::sroute:f7deffcd-f92a-409b-b86e-c477997a5f32,Severe Delay,-19.23785848,0.6452301101126207,10,25–50 km
trip-153671117375890592,12:53.8,52:44.4,5,246,91,100.4291757,127.7225,279,FTL,IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),IND415612AAA,Ratnagiri_MjgaonRd_D (Maharashtra),1,0,155,training,12:53.8,thanos::sroute:f7deffcd-f92a-409b-b86e-c477997a5f32,Severe Delay,-27.293324299999995,0.786307625516256,10,100–200 km
trip-153671117375890592,52:44.4,10:19.7,4,225,88,84.00736723,115.1548,257,FTL,IND415612AAA,Ratnagiri_MjgaonRd_D (Maharashtra),IND415408AAC,Shirala_Central_DPP_3 (Maharashtra),1,0,137,training,12:53.8,thanos::sroute:f7deffcd-f92a-409b-b86e-c477997a5f32,Severe Delay,-31.147432769999995,0.729516852358738,10,50–100 km
trip-153671121411074590,33:44.5,50:14.2,14,470,244,296.9357114,338.4056,496,FTL,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),1,0,226,training,13:34.1,thanos::sroute:fd23d4f1-012f-4247-80e9-506d32e982a1,Severe Delay,-41.46988859999999,0.8774550758025281,23,200+ km
trip-153671121411074590,50:14.2,09:57.5,9,339,184,177.5108853,203.6756,499,FTL,IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),1,0,155,training,13:34.1,thanos::sroute:fd23d4f1-012f-4247-80e9-506d32e982a1,Severe Delay,-26.16471469999999,0.8715373137479404,23,100–200 km
trip-153671122262300031,54:05.0,12:53.0,5,243,89,94.03512763,122.8876,258,FTL,IND508223AAA,Thirumalagiri_Xroad_D (Telangana),IND500039AAC,Hyderabad_Uppal_I (Telangana),1,0,154,training,13:42.6,thanos::sroute:1d848e84-b73b-47b3-90ec-4a12509bafc7,Severe Delay,-28.85247237,0.7652125001220628,5,50–100 km
trip-153671127071609610,14:30.7,21:35.0,5,148,73,78.45033418,92.5224,187,Carting,IND585104AAA,Gulbarga_Nehrugnj_I (Karnataka),IND586128AAA,Sindagi_KalyanNg_D (Karnataka),1,0,75,training,14:30.7,thanos::sroute:13c4e60a-d850-4737-9bac-0cc4a4002b2d,High Delay,-14.072065820000006,0.8479063900201464,22,50–100 km
trip-153671127071609610,21:35.0,48:33.0,5,69,47,39.56135733,47.9389,86,Carting,IND586128AAA,Sindagi_KalyanNg_D (Karnataka),IND586211AAA,Indi_SindgiRD_D (Karnataka),1,0,22,training,14:30.7,thanos::sroute:13c4e60a-d850-4737-9bac-0cc4a4002b2d,On Time,-8.377542669999997,0.8252454130153175,22,25–50 km
trip-153671127071609610,48:33.0,54:13.8,8,172,97,77.31899856,104.8911,185,Carting,IND586211AAA,Indi_SindgiRD_D (Karnataka),IND585314AAA,Aland_RazaviRd_D (Karnataka),1,0,75,training,14:30.7,thanos::sroute:13c4e60a-d850-4737-9bac-0cc4a4002b2d,High Delay,-27.57210144,0.7371359301218121,22,50–100 km
